fly	fname	condition	segment	location	fraction
5	flytrax20181204_163734.csv	rewarded	after_relocation	at_fictive_reward	0.04867006225240522
5	flytrax20181204_163734.csv	rewarded	baseline	at_fictive_reward	0.0
5	flytrax20181204_163734.csv	rewarded	relocation	at_fictive_reward	0.0
5	flytrax20181204_163734.csv	rewarded	stimulation	at_fictive_reward	0.2296060485475528
5	flytrax20181204_163734.csv	rewarded	post-stim	at_fictive_reward	0.19383259911894274
6	flytrax20181204_170930.csv	rewarded	after_relocation	at_fictive_reward	0.007786232525216777
6	flytrax20181204_170930.csv	rewarded	baseline	at_fictive_reward	0.00016702856188408218
6	flytrax20181204_170930.csv	rewarded	relocation	at_fictive_reward	0.0
6	flytrax20181204_170930.csv	rewarded	stimulation	at_fictive_reward	0.13429421185083504
6	flytrax20181204_170930.csv	rewarded	post-stim	at_fictive_reward	0.2465753424657534
7	flytrax20181205_182038.csv	non-rewarded	after_relocation	at_fictive_reward	0.004763469119579501
7	flytrax20181205_182038.csv	non-rewarded	baseline	at_fictive_reward	0.0
7	flytrax20181205_182038.csv	non-rewarded	relocation	at_fictive_reward	0.0
7	flytrax20181205_182038.csv	non-rewarded	stimulation	at_fictive_reward	0.9629629629629628
7	flytrax20181205_182038.csv	non-rewarded	post-stim	at_fictive_reward	0.0
8	flytrax20181205_184643.csv	non-rewarded	after_relocation	at_fictive_reward	0.0
8	flytrax20181205_184643.csv	non-rewarded	baseline	at_fictive_reward	0.052028491793124805
8	flytrax20181205_184643.csv	non-rewarded	relocation	at_fictive_reward	0.0
8	flytrax20181205_184643.csv	non-rewarded	stimulation	at_fictive_reward	0.018048128342245992
8	flytrax20181205_184643.csv	non-rewarded	post-stim	at_fictive_reward	0.0
9	flytrax20181207_161754.csv	rewarded	after_relocation	at_fictive_reward	0.04348579348579349
9	flytrax20181207_161754.csv	rewarded	baseline	at_fictive_reward	0.0
9	flytrax20181207_161754.csv	rewarded	relocation	at_fictive_reward	0.0
9	flytrax20181207_161754.csv	rewarded	stimulation	at_fictive_reward	0.6144697720515362
9	flytrax20181207_161754.csv	rewarded	post-stim	at_fictive_reward	0.24056603773584906
10	flytrax20181207_180201.csv	rewarded	after_relocation	at_fictive_reward	0.04371217215870881
10	flytrax20181207_180201.csv	rewarded	baseline	at_fictive_reward	0.0
10	flytrax20181207_180201.csv	rewarded	relocation	at_fictive_reward	0.0
10	flytrax20181207_180201.csv	rewarded	stimulation	at_fictive_reward	0.30067189249720044
10	flytrax20181207_180201.csv	rewarded	post-stim	at_fictive_reward	0.0
11	flytrax20181211_170828.csv	rewarded	after_relocation	at_fictive_reward	0.012853005068790727
11	flytrax20181211_170828.csv	rewarded	baseline	at_fictive_reward	0.0
11	flytrax20181211_170828.csv	rewarded	relocation	at_fictive_reward	0.0
11	flytrax20181211_170828.csv	rewarded	stimulation	at_fictive_reward	0.6257731958762887
11	flytrax20181211_170828.csv	rewarded	post-stim	at_fictive_reward	0.1895734597156398
12	flytrax20181211_183411.csv	rewarded	after_relocation	at_fictive_reward	0.0199738659697592
12	flytrax20181211_183411.csv	rewarded	baseline	at_fictive_reward	0.0
12	flytrax20181211_183411.csv	rewarded	relocation	at_fictive_reward	0.0
12	flytrax20181211_183411.csv	rewarded	stimulation	at_fictive_reward	0.6888888888888889
12	flytrax20181211_183411.csv	rewarded	post-stim	at_fictive_reward	0.1411764705882353
13	flytrax20181211_185727.csv	non-rewarded	after_relocation	at_fictive_reward	0.0
13	flytrax20181211_185727.csv	non-rewarded	baseline	at_fictive_reward	0.00021547080370609784
13	flytrax20181211_185727.csv	non-rewarded	relocation	at_fictive_reward	0.0
13	flytrax20181211_185727.csv	non-rewarded	stimulation	at_fictive_reward	0.012446958981612449
13	flytrax20181211_185727.csv	non-rewarded	post-stim	at_fictive_reward	0.0
14	flytrax20181211_192052.csv	non-rewarded	after_relocation	at_fictive_reward	0.0
14	flytrax20181211_192052.csv	non-rewarded	baseline	at_fictive_reward	0.0
14	flytrax20181211_192052.csv	non-rewarded	relocation	at_fictive_reward	0.0
14	flytrax20181211_192052.csv	non-rewarded	stimulation	at_fictive_reward	0.9565217391304348
