at_center	at_fictive_reward	at_reward	condition	cum_dist_seg_cm	fly	fname	segment	tseg
0.01535955317663486	0.02094484524086572	0.02094484524086572	non-rewarded	495.48494738575135	17	flytrax20181217_192137.csv	baseline	433.8041000366211
0.05263157894736842	0.0	0.0	non-rewarded	4.662526128209219	17	flytrax20181217_192137.csv	relocation	1.7989001274108891
0.0	0.6666666666666666	0.6666666666666666	non-rewarded	0.5726712209538097	17	flytrax20181217_192137.csv	stimulation	1.699199914932251
0.0049504950495049506	0.0	0.0	non-rewarded	64.80429735589533	17	flytrax20181217_192137.csv	post-stim	85.09690046310425
0.01377605086541858	0.01059696220416814	0.007417873542917697	non-rewarded	296.8779139876636	18	flytrax20181218_164433.csv	after_relocation	283.3952777385712
0.011413696435722868	0.008877319450006674	0.008877319450006674	non-rewarded	1174.6406615061223	18	flytrax20181218_164433.csv	baseline	1501.1011819839478
0.32	0.0	0.0	non-rewarded	12.453041524781446	18	flytrax20181218_164433.csv	relocation	2.4048001766204834
0.0	1.0	1.0	non-rewarded	1.7037109755406388	18	flytrax20181218_164433.csv	stimulation	0.8939998149871826
0.0	0.0	0.0	non-rewarded	4.612761240705042	18	flytrax20181218_164433.csv	post-stim	2.8045003414154053
0.01259706643658326	0.010181190681622088	0.005522001725625539	non-rewarded	332.78369308868486	19	flytrax20181218_175537.csv	after_relocation	586.8774001598357
0.0	0.0	0.0	non-rewarded	228.75065325329643	19	flytrax20181218_175537.csv	baseline	329.6016006469726
0.5	0.0	0.0	non-rewarded	7.552440365900567	19	flytrax20181218_175537.csv	relocation	2.100636482238769
0.0	0.75	0.75	non-rewarded	0.5553745312739966	19	flytrax20181218_175537.csv	stimulation	0.30139970779418945
0.0	0.0	0.0	non-rewarded	9.119129188140251	19	flytrax20181218_175537.csv	post-stim	10.900222301483154
0.013333333333333334	0.0	0.026488888888888888	rewarded	454.80934135952737	20	flytrax20190109_165747.csv	after_relocation	562.4948062896729
0.010599721059972108	0.006415620641562064	0.006415620641562064	rewarded	323.850894244877	20	flytrax20190109_165747.csv	baseline	367.50200033187866
0.0	0.0	0.0	rewarded	8.628705864694831	20	flytrax20190109_165747.csv	relocation	1.2014448642730713
0.0	0.3865546218487395	0.3865546218487395	rewarded	118.40071954851489	20	flytrax20190109_165747.csv	stimulation	154.60510039329532
0.0	0.3701657458563536	0.3701657458563536	rewarded	30.40007615413149	20	flytrax20190109_165747.csv	post-stim	36.0962336063385
0.0	0.0	0.0	non-rewarded	421.42190243717806	21	flytrax20190110_152909.csv	after_relocation	582.4651999473573
0.0	0.0	0.0	non-rewarded	429.5965881177922	21	flytrax20190110_152909.csv	baseline	401.201299905777
0.0	0.0	0.0	non-rewarded	6.098964917324048	21	flytrax20190110_152909.csv	relocation	0.9948997497558594
0.0	0.9545454545454546	0.9545454545454546	non-rewarded	3.40558928858294	21	flytrax20190110_152909.csv	stimulation	2.1007001399993896
0.20606060606060608	0.0	0.0	non-rewarded	18.325247888613735	21	flytrax20190110_152909.csv	post-stim	16.402599573135376
0.009782049081860306	0.010640123562725244	0.0	non-rewarded	510.2781741843548	22	flytrax20190110_162901.csv	after_relocation	593.586699962616
0.02676879993410757	0.0	0.0	non-rewarded	748.5575961944388	22	flytrax20190110_162901.csv	baseline	1217.2985455989838
0.06666666666666668	0.0	0.0	non-rewarded	7.21200495978985	22	flytrax20190110_162901.csv	relocation	1.396899700164795
0.0	0.9726027397260274	0.9726027397260274	non-rewarded	6.3716692485733475	22	flytrax20190110_162901.csv	stimulation	7.196200132369995
0.0	0.0	0.0	non-rewarded	4.192957297211214	22	flytrax20190110_162901.csv	post-stim	4.804200172424316
0.014588398749565822	0.10194511983327544	0.07971517888155609	rewarded	592.232290476513	23	flytrax20190110_170616.csv	after_relocation	575.6809992790222
0.0	0.015016685205784202	0.015016685205784202	rewarded	292.28133755090784	23	flytrax20190110_170616.csv	baseline	360.3059995174408
0.0	0.0	0.0	rewarded	8.850788193568427	23	flytrax20190110_170616.csv	relocation	1.698500156402588
0.0	0.5043630017452007	0.5043630017452007	rewarded	112.96325506774795	23	flytrax20190110_170616.csv	stimulation	114.49399995803832
0.0	0.11555555555555555	0.11555555555555555	rewarded	21.749227092650298	23	flytrax20190110_170616.csv	post-stim	22.402400732040405
0.0	0.0	0.0023423423423423427	non-rewarded	414.24725931022056	24	flytrax20190110_173636.csv	after_relocation	567.1640000343323
0.0	0.0	0.0	non-rewarded	222.29428695966575	24	flytrax20190110_173636.csv	baseline	304.1047997474671
0.0	0.0	0.0	non-rewarded	7.488308208459321	24	flytrax20190110_173636.csv	relocation	1.0002729892730713
0.0	0.95	0.95	non-rewarded	3.0896024397393465	24	flytrax20190110_173636.csv	stimulation	1.8991997241973884
0.0	0.0	0.0	non-rewarded	22.5618179304312	24	flytrax20190110_173636.csv	post-stim	31.698999881744385
0.0036932435368238095	0.0106452313708451	0.0771236150336737	rewarded	375.45580004316736	25	flytrax20190110_182810.csv	after_relocation	474.8616001605988
0.005063291139240506	0.0	0.0	rewarded	532.2297501205214	25	flytrax20190110_182810.csv	baseline	908.4002728462219
0.0	0.0	0.0	rewarded	6.765012389681608	25	flytrax20190110_182810.csv	relocation	0.9950997829437256
0.0	0.5760869565217391	0.5760869565217391	rewarded	94.80350130377659	25	flytrax20190110_182810.csv	stimulation	101.09700036048888
0.0	0.33360193392425463	0.33360193392425463	rewarded	108.00299914553464	25	flytrax20190110_182810.csv	post-stim	124.00160050392151
