cum_dist,t,timestamp,frame,x_px,y_px,led_1
3648.0,502.70000000000005,1543940273.3769999,43589793.0,550.8333333333334,241.82222222222222,0.0
3650.0,502.8,1543940273.473,43589802.5,549.1700000000001,240.92000000000002,0.0
3652.0,502.90000000000003,1543940273.5730996,43589812.5,547.7700000000001,239.46999999999997,0.0
3654.0,503.0,1543940273.6739998,43589822.5,546.48,237.70999999999998,0.0
3656.0,503.1,1543940273.774,43589832.5,545.77,235.94000000000005,0.0
3658.0,503.20000000000005,1543940273.875,43589842.5,544.9300000000001,234.43,0.0
3660.0,503.3,1543940273.9752,43589852.5,543.9300000000001,232.81,0.0
3662.0,503.40000000000003,1543940274.0759997,43589862.5,542.98,230.95,0.0
3664.0,503.5,1543940274.176,43589872.5,541.9800000000001,229.01,0.0
3666.0,503.6,1543940274.277,43589882.5,541.03,226.86999999999998,0.0
3668.0,503.70000000000005,1543940274.3772001,43589892.5,540.04,224.82,0.0
3670.0,503.8,1543940274.4783,43589902.5,539.0600000000001,222.81000000000003,0.0
3672.0,503.90000000000003,1543940274.5781002,43589912.5,538.28,221.18,0.0
3674.0,504.0,1543940274.6790001,43589922.5,537.4100000000001,219.37000000000003,0.0
3676.0,504.1,1543940274.7793002,43589932.5,536.72,217.49,0.0
3678.0,504.20000000000005,1543940274.8799999,43589942.5,536.84,215.65,0.0
3680.0,504.3,1543940274.9802003,43589952.5,537.62,213.96999999999997,0.0
3682.0,504.40000000000003,1543940275.081,43589962.5,538.6299999999999,212.11999999999998,0.0
3684.0,504.55,1543940275.2267222,43589977.0,539.210606060606,209.92626262626266,0.0
3686.0,504.70000000000005,1543940275.3772223,43589992.0,539.8222222222222,207.61111111111111,0.0
3688.0,504.8,1543940275.4731002,43590001.5,539.7500000000001,206.08999999999997,0.0
3690.0,504.90000000000003,1543940275.5730996,43590011.5,538.9399999999999,204.73000000000002,0.0
3692.0,505.0,1543940275.6739998,43590021.5,537.57,203.94,0.0
3694.0,505.15000000000003,1543940275.8246,43590036.5,534.885,203.365,0.0
3696.0,505.3,1543940275.9752,43590051.5,532.0,203.60999999999999,0.0
3700.0,505.40000000000003,1543940276.0759997,43590061.5,529.89,203.66000000000003,0.0
3702.0,505.5,1543940276.1763,43590071.5,527.79,203.47,0.0
3704.0,505.6,1543940276.277,43590081.5,525.67,203.12999999999997,0.0
3706.0,505.70000000000005,1543940276.3772001,43590091.5,523.4499999999999,202.9,0.0
3708.0,505.8,1543940276.478,43590101.5,521.44,202.43,0.0
3710.0,505.90000000000003,1543940276.5782,43590111.5,519.65,201.57999999999998,0.0
3712.0,506.0,1543940276.6790001,43590121.5,517.85,200.41000000000003,0.0
3714.0,506.1,1543940276.7791,43590131.5,516.3900000000001,199.01,0.0
3716.0,506.20000000000005,1543940276.8799999,43590141.5,515.66,197.19,0.0
3718.0,506.3,1543940276.9803002,43590151.5,515.1899999999999,195.25000000000003,0.0
3720.0,506.40000000000003,1543940277.081,43590161.5,514.54,193.35999999999999,0.0
3722.0,506.5,1543940277.1763334,43590171.0,513.9888888888888,191.7222222222222,0.0
3724.0,506.65000000000003,1543940277.3271112,43590186.0,513.9181818181819,189.33939393939397,0.0
3726.0,506.8,1543940277.473,43590200.5,514.24,186.81,0.0
3728.0,506.90000000000003,1543940277.5730996,43590210.5,514.54,184.98,0.0
3730.0,507.0,1543940277.6739998,43590220.5,515.18,183.29000000000002,0.0
3732.0,507.1,1543940277.7742999,43590230.5,515.96,181.77000000000004,0.0
3734.0,507.20000000000005,1543940277.875,43590240.5,516.6800000000001,180.25,0.0
3736.0,507.35,1543940278.0256498,43590255.5,517.865,177.89999999999998,0.0
3738.0,507.5,1543940278.1762002,43590270.5,518.86,175.70000000000002,0.0
3740.0,507.6,1543940278.277,43590280.5,519.4499999999999,174.13999999999996,0.0
3742.0,507.75,1543940278.4252,43590295.25,519.7888888888888,171.96555555555557,0.0
3744.0,507.90000000000003,1543940278.5735457,43590310.0,518.6272727272727,170.38181818181818,0.0
3746.0,508.0,1543940278.6790001,43590320.5,517.24,169.41,0.0
3748.0,508.1,1543940278.7792,43590330.5,515.95,168.31,0.0
3750.0,508.20000000000005,1543940278.8799999,43590340.5,514.5600000000001,166.94,0.0
3752.0,508.3,1543940278.9803002,43590350.5,512.9399999999999,165.7,0.0
3754.0,508.40000000000003,1543940279.0817,43590360.5,511.08000000000004,164.61,0.0
3756.0,508.5,1543940279.1762226,43590370.0,509.4111111111111,163.48888888888888,0.0
3758.0,508.6,1543940279.2770002,43590380.0,507.71818181818185,162.34545454545454,0.0
3760.0,508.70000000000005,1543940279.3772223,43590390.0,506.0111111111112,161.2111111111111,0.0
3762.0,508.8,1543940279.473,43590399.5,504.5400000000001,159.82,0.0
3764.0,508.90000000000003,1543940279.5732996,43590409.5,502.9599999999999,158.28,0.0
3766.0,509.0,1543940279.6739998,43590419.5,501.51000000000005,156.77,0.0
3768.0,509.1,1543940279.7742999,43590429.5,500.06000000000006,155.11,0.0
3770.0,509.20000000000005,1543940279.875,43590439.5,498.5499999999999,153.43,0.0
3774.0,509.3,1543940279.9752998,43590449.5,497.03000000000003,151.69000000000003,0.0
3776.0,509.40000000000003,1543940280.0759997,43590459.5,495.48999999999995,149.93,0.0
3778.0,509.5,1543940280.1764998,43590469.5,494.23999999999995,148.18,0.0
3780.0,509.6,1543940280.277,43590479.5,493.68,146.42,0.0
3782.0,509.70000000000005,1543940280.3774,43590489.5,493.61,144.39000000000001,0.0
3784.0,509.8,1543940280.4781997,43590499.5,493.78999999999996,142.13000000000002,0.0
3786.0,509.90000000000003,1543940280.5783,43590509.5,493.81000000000006,140.0,0.0
3788.0,510.0,1543940280.6790001,43590519.5,493.6,137.82,0.0
3790.0,510.1,1543940280.7793002,43590529.5,493.48999999999995,135.71,0.0
3792.0,510.20000000000005,1543940280.8799999,43590539.5,492.71000000000004,133.99,0.0
3794.0,510.3,1543940280.9804,43590549.5,491.2900000000001,133.56,0.0
3796.0,510.40000000000003,1543940281.081,43590559.5,489.48,133.67,0.0
3798.0,510.5,1543940281.1762226,43590569.0,487.5222222222223,133.7,0.0
3800.0,510.6,1543940281.2770002,43590579.0,484.94545454545454,133.56363636363633,0.0
3802.0,510.70000000000005,1543940281.3772223,43590589.0,482.29999999999995,133.32222222222222,0.0
3806.0,510.8,1543940281.473,43590598.5,479.77,132.78,0.0
3808.0,510.90000000000003,1543940281.5734,43590608.5,477.1,132.20999999999998,0.0
3810.0,511.0,1543940281.6739998,43590618.5,474.5,131.65000000000003,0.0
3814.0,511.1,1543940281.7742999,43590628.5,472.14,130.82,0.0
3816.0,511.20000000000005,1543940281.875,43590638.5,469.94000000000005,129.61999999999998,0.0
3818.0,511.3,1543940281.9752998,43590648.5,467.87,128.22,0.0
3820.0,511.40000000000003,1543940282.0759997,43590658.5,466.1500000000001,126.7,0.0
3822.0,511.5,1543940282.1764,43590668.5,464.7900000000001,125.10999999999999,0.0
3824.0,511.6,1543940282.277,43590678.5,465.3499999999999,124.27000000000001,0.0
3826.0,511.70000000000005,1543940282.3775,43590688.5,466.21999999999997,122.95,0.0
3828.0,511.8,1543940282.478,43590698.5,466.40999999999997,120.7,0.0
3830.0,511.95000000000005,1543940282.6286502,43590713.5,467.225,118.345,0.0
3832.0,512.1,1543940282.7793002,43590728.5,466.2099999999999,115.81999999999998,0.0
3836.0,512.25,1543940282.9302,43590743.5,463.94500000000005,114.1,0.0
3838.0,512.45,1543940283.1030831,43590760.58333333,461.7208333333333,112.88333333333333,0.0
3844.0,512.8000000000001,1543940283.488,43590799.0,460.95,107.525,0.0
3846.0,512.9,1543940283.5774446,43590807.88888889,461.7555555555556,104.84444444444443,0.0
3850.0,513.0,1543940283.671222,43590817.222222224,462.53333333333325,101.36666666666667,0.0
3854.0,513.1,1543940283.7742999,43590827.5,461.7200000000001,97.97999999999999,0.0
3858.0,513.2,1543940283.875,43590837.5,461.33000000000004,94.36,0.0
3862.0,513.3000000000001,1543940283.9866002,43590848.6,461.0400000000001,90.41999999999999,0.0
3874.0,518.1,1543940288.805,43591328.0,454.9,78.9,0.0
3876.0,518.2,1543940288.8899999,43591336.5,453.75,79.425,0.0
